month,days,precip_mm,recharge_mm,pet_mm,recharge_m_d,evt_rate_m_d,pumping_multiplier
Jan,31,0.0,0.0,150.0,0.0,0.002661290322580645,1.35
Feb,28,2.0,0.0,160.0,0.0,0.0031428571428571426,1.3
Mar,31,10.0,0.0,205.0,0.0,0.003637096774193549,1.45
Apr,30,35.0,2.1,210.0,7.000000000000001e-05,0.0038500000000000006,1.4
May,31,90.0,9.8,195.0,0.00031612903225806455,0.003459677419354839,1.15
Jun,30,140.0,16.8,150.0,0.0005600000000000001,0.0027500000000000003,0.75
Jul,31,220.0,28.000000000000004,130.0,0.0009032258064516131,0.0023064516129032257,0.6
Aug,31,270.0,35.0,120.0,0.0011290322580645162,0.0021290322580645163,0.6
Sep,30,190.0,23.8,140.0,0.0007933333333333334,0.0025666666666666667,0.7
Oct,31,60.0,5.6000000000000005,165.0,0.0001806451612903226,0.00292741935483871,0.95
Nov,30,5.0,0.0,150.0,0.0,0.0027500000000000003,1.2
Dec,31,0.0,0.0,140.0,0.0,0.0024838709677419356,1.3
